"id_time","month","month_name","year"
"199001",1,"January",1990
"199002",2,"February",1990
"199003",3,"March",1990
"199004",4,"April",1990
"199005",5,"May",1990
"199006",6,"June",1990
"199007",7,"July",1990
"199008",8,"August",1990
"199009",9,"September",1990
"199010",10,"October",1990
"199011",11,"November",1990
"199012",12,"December",1990
"199101",1,"January",1991
"199102",2,"February",1991
"199103",3,"March",1991
"199104",4,"April",1991
"199105",5,"May",1991
"199106",6,"June",1991
"199107",7,"July",1991
"199108",8,"August",1991
"199109",9,"September",1991
"199110",10,"October",1991
"199111",11,"November",1991
"199112",12,"December",1991
"199201",1,"January",1992
"199202",2,"February",1992
"199203",3,"March",1992
"199204",4,"April",1992
"199205",5,"May",1992
"199206",6,"June",1992
"199207",7,"July",1992
"199208",8,"August",1992
"199209",9,"September",1992
"199210",10,"October",1992
"199211",11,"November",1992
"199212",12,"December",1992
"199301",1,"January",1993
"199302",2,"February",1993
"199303",3,"March",1993
"199304",4,"April",1993
"199305",5,"May",1993
"199306",6,"June",1993
"199307",7,"July",1993
"199308",8,"August",1993
"199309",9,"September",1993
"199310",10,"October",1993
"199311",11,"November",1993
"199312",12,"December",1993
"199401",1,"January",1994
"199402",2,"February",1994
"199403",3,"March",1994
"199404",4,"April",1994
"199405",5,"May",1994
"199406",6,"June",1994
"199407",7,"July",1994
"199408",8,"August",1994
"199409",9,"September",1994
"199410",10,"October",1994
"199411",11,"November",1994
"199412",12,"December",1994
"199501",1,"January",1995
"199502",2,"February",1995
"199503",3,"March",1995
"199504",4,"April",1995
"199505",5,"May",1995
"199506",6,"June",1995
"199507",7,"July",1995
"199508",8,"August",1995
"199509",9,"September",1995
"199510",10,"October",1995
"199511",11,"November",1995
"199512",12,"December",1995
"199601",1,"January",1996
"199602",2,"February",1996
"199603",3,"March",1996
"199604",4,"April",1996
"199605",5,"May",1996
"199606",6,"June",1996
"199607",7,"July",1996
"199608",8,"August",1996
"199609",9,"September",1996
"199610",10,"October",1996
"199611",11,"November",1996
"199612",12,"December",1996
"199701",1,"January",1997
"199702",2,"February",1997
"199703",3,"March",1997
"199704",4,"April",1997
"199705",5,"May",1997
"199706",6,"June",1997
"199707",7,"July",1997
"199708",8,"August",1997
"199709",9,"September",1997
"199710",10,"October",1997
"199711",11,"November",1997
"199712",12,"December",1997
"199801",1,"January",1998
"199802",2,"February",1998
"199803",3,"March",1998
"199804",4,"April",1998
"199805",5,"May",1998
"199806",6,"June",1998
"199807",7,"July",1998
"199808",8,"August",1998
"199809",9,"September",1998
"199810",10,"October",1998
"199811",11,"November",1998
"199812",12,"December",1998
"199901",1,"January",1999
"199902",2,"February",1999
"199903",3,"March",1999
"199904",4,"April",1999
"199905",5,"May",1999
"199906",6,"June",1999
"199907",7,"July",1999
"199908",8,"August",1999
"199909",9,"September",1999
"199910",10,"October",1999
"199911",11,"November",1999
"199912",12,"December",1999
"200001",1,"January",2000
"200002",2,"February",2000
"200003",3,"March",2000
"200004",4,"April",2000
"200005",5,"May",2000
"200006",6,"June",2000
"200007",7,"July",2000
"200008",8,"August",2000
"200009",9,"September",2000
"200010",10,"October",2000
"200011",11,"November",2000
"200012",12,"December",2000
"200101",1,"January",2001
"200102",2,"February",2001
"200103",3,"March",2001
"200104",4,"April",2001
"200105",5,"May",2001
"200106",6,"June",2001
"200107",7,"July",2001
"200108",8,"August",2001
"200109",9,"September",2001
"200110",10,"October",2001
"200111",11,"November",2001
"200112",12,"December",2001
"200201",1,"January",2002
"200202",2,"February",2002
"200203",3,"March",2002
"200204",4,"April",2002
"200205",5,"May",2002
"200206",6,"June",2002
"200207",7,"July",2002
"200208",8,"August",2002
"200209",9,"September",2002
"200210",10,"October",2002
"200211",11,"November",2002
"200212",12,"December",2002
"200301",1,"January",2003
"200302",2,"February",2003
"200303",3,"March",2003
"200304",4,"April",2003
"200305",5,"May",2003
"200306",6,"June",2003
"200307",7,"July",2003
"200308",8,"August",2003
"200309",9,"September",2003
"200310",10,"October",2003
"200311",11,"November",2003
"200312",12,"December",2003
"200401",1,"January",2004
"200402",2,"February",2004
"200403",3,"March",2004
"200404",4,"April",2004
"200405",5,"May",2004
"200406",6,"June",2004
"200407",7,"July",2004
"200408",8,"August",2004
"200409",9,"September",2004
"200410",10,"October",2004
"200411",11,"November",2004
"200412",12,"December",2004
"200501",1,"January",2005
"200502",2,"February",2005
"200503",3,"March",2005
"200504",4,"April",2005
"200505",5,"May",2005
"200506",6,"June",2005
"200507",7,"July",2005
"200508",8,"August",2005
"200509",9,"September",2005
"200510",10,"October",2005
"200511",11,"November",2005
"200512",12,"December",2005
"200601",1,"January",2006
"200602",2,"February",2006
"200603",3,"March",2006
"200604",4,"April",2006
"200605",5,"May",2006
"200606",6,"June",2006
"200607",7,"July",2006
"200608",8,"August",2006
"200609",9,"September",2006
"200610",10,"October",2006
"200611",11,"November",2006
"200612",12,"December",2006
"200701",1,"January",2007
"200702",2,"February",2007
"200703",3,"March",2007
"200704",4,"April",2007
"200705",5,"May",2007
"200706",6,"June",2007
"200707",7,"July",2007
"200708",8,"August",2007
"200709",9,"September",2007
"200710",10,"October",2007
"200711",11,"November",2007
"200712",12,"December",2007
"200801",1,"January",2008
"200802",2,"February",2008
"200803",3,"March",2008
"200804",4,"April",2008
"200805",5,"May",2008
"200806",6,"June",2008
"200807",7,"July",2008
"200808",8,"August",2008
"200809",9,"September",2008
"200810",10,"October",2008
"200811",11,"November",2008
"200812",12,"December",2008
"200901",1,"January",2009
"200902",2,"February",2009
"200903",3,"March",2009
"200904",4,"April",2009
"200905",5,"May",2009
"200906",6,"June",2009
"200907",7,"July",2009
"200908",8,"August",2009
"200909",9,"September",2009
"200910",10,"October",2009
"200911",11,"November",2009
"200912",12,"December",2009
"201001",1,"January",2010
"201002",2,"February",2010
"201003",3,"March",2010
"201004",4,"April",2010
"201005",5,"May",2010
"201006",6,"June",2010
"201007",7,"July",2010
"201008",8,"August",2010
"201009",9,"September",2010
"201010",10,"October",2010
"201011",11,"November",2010
"201012",12,"December",2010
"201101",1,"January",2011
"201102",2,"February",2011
"201103",3,"March",2011
"201104",4,"April",2011
"201105",5,"May",2011
"201106",6,"June",2011
"201107",7,"July",2011
"201108",8,"August",2011
"201109",9,"September",2011
"201110",10,"October",2011
"201111",11,"November",2011
"201112",12,"December",2011
"201201",1,"January",2012
"201202",2,"February",2012
"201203",3,"March",2012
"201204",4,"April",2012
"201205",5,"May",2012
"201206",6,"June",2012
"201207",7,"July",2012
"201208",8,"August",2012
"201209",9,"September",2012
"201210",10,"October",2012
"201211",11,"November",2012
"201212",12,"December",2012
"201301",1,"January",2013
"201302",2,"February",2013
"201303",3,"March",2013
"201304",4,"April",2013
"201305",5,"May",2013
"201306",6,"June",2013
"201307",7,"July",2013
"201308",8,"August",2013
"201309",9,"September",2013
"201310",10,"October",2013
"201311",11,"November",2013
"201312",12,"December",2013
"201401",1,"January",2014
"201402",2,"February",2014
"201403",3,"March",2014
"201404",4,"April",2014
"201405",5,"May",2014
"201406",6,"June",2014
"201407",7,"July",2014
"201408",8,"August",2014
"201409",9,"September",2014
"201410",10,"October",2014
"201411",11,"November",2014
"201412",12,"December",2014
"201501",1,"January",2015
"201502",2,"February",2015
"201503",3,"March",2015
"201504",4,"April",2015
"201505",5,"May",2015
"201506",6,"June",2015
"201507",7,"July",2015
"201508",8,"August",2015
"201509",9,"September",2015
"201510",10,"October",2015
"201511",11,"November",2015
"201512",12,"December",2015
"199000",0,"All year",1990
"199100",0,"All year",1991
"199200",0,"All year",1992
"199300",0,"All year",1993
"199400",0,"All year",1994
"199500",0,"All year",1995
"199600",0,"All year",1996
"199700",0,"All year",1997
"199800",0,"All year",1998
"199900",0,"All year",1999
"200000",0,"All year",2000
"200100",0,"All year",2001
"200200",0,"All year",2002
"200300",0,"All year",2003
"200400",0,"All year",2004
"200500",0,"All year",2005
"200600",0,"All year",2006
"200700",0,"All year",2007
"200800",0,"All year",2008
"200900",0,"All year",2009
"201000",0,"All year",2010
"201100",0,"All year",2011
"201200",0,"All year",2012
"201300",0,"All year",2013
"201400",0,"All year",2014
"201500",0,"All year",2015
